Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8,524,0.015267,4.066,129,8,2.496,,4.066,4.066
2,11.5,765,0.019608,5.542,138,15,2.404,,5.542,9.608
3,9.67,281,0.021352,1.837,153,6,2.448,,1.837,11.445
4,9.75,579,0.017271,3.923,148,10,2.367,,3.923,15.368
5,11,543,0.029466,3.466,157,16,2.491,,3.466,18.834
6,10.17,416,0.014423,2.912,143,6,2.477,,2.912,21.746
7,9.71,455,0.015385,2.945,155,7,2.437,,2.945,24.691
8,9.75,591,0.01692,3.884,152,10,2.525,,3.884,28.575
9,9.67,532,0.016917,3.661,145,9,2.559,,3.661,32.236
10,9.1,304,0.013158,1.917,159,4,2.459,,1.917,34.153
11,8.82,380,0.015789,2.431,156,6,2.452,,2.431,36.584
12,9.5,1044,0.016284,7.091,147,17,2.524,,7.091,43.675
13,10.46,956,0.023013,6.961,137,22,2.44,,6.961,50.636
14,10.5,544,0.020221,4.035,135,11,2.476,,4.035,54.671
15,11.13,672,0.029762,4.913,137,20,2.539,,4.913,59.584
16,10.81,368,0.016304,2.672,138,6,2.581,,2.672,62.256
17,10.65,450,0.017778,3.375,133,8,2.587,,3.375,65.631
18,10.67,422,0.026066,3.069,137,11,2.423,,3.069,68.7
19,10.68,516,0.021318,3.881,133,11,2.556,,3.881,72.581
20,10.6,425,0.021176,3.174,134,9,2.442,,3.174,75.755
21,10.48,787,0.010165,5.847,135,8,2.457,,5.847,81.602
22,10.45,513,0.019493,3.761,136,10,2.589,,3.761,85.363
23,10.39,355,0.025352,2.607,136,9,2.628,,2.607,87.97
24,10.46,550,0.021818,4.006,137,12,2.503,,4.006,91.976
25,10.24,370,0.013514,2.677,138,5,2.671,,2.677,94.653
26,10.54,595,0.030252,4.273,139,18,2.621,,4.273,98.926
27,10.37,487,0.01232,3.527,138,6,2.595,,3.527,102.453
28,10.43,612,0.019608,4.281,143,12,2.593,,4.281,106.734
29,10.52,636,0.02044,4.573,139,13,2.584,,4.573,111.307
30,10.63,638,0.021944,4.365,146,14,2.51,,4.365,115.672
31,10.68,686,0.017493,4.764,144,12,2.567,,4.764,120.436
32,10.59,394,0.020305,2.857,138,8,2.618,,2.857,123.293
33,10.58,530,0.018868,3.813,139,10,2.582,,3.813,127.106
34,10.44,457,0.013129,3.283,139,6,2.632,,3.283,130.389
35,10.63,605,0.028099,4.109,147,17,2.448,,4.109,134.498
36,10.5,458,0.0131,3.232,142,6,2.533,,3.232,137.73
37,10.41,421,0.016627,3.062,137,7,2.506,,3.062,140.792
38,10.66,620,0.032258,4.251,146,20,2.534,,4.251,145.043
39,10.62,482,0.018672,3.511,137,9,2.515,,3.511,148.554
40,10.53,459,0.015251,3.132,147,7,2.526,,3.132,151.686
41,10.39,279,0.017921,2.044,136,5,2.563,,2.044,153.73
42,10.29,385,0.015584,2.777,139,6,2.549,,2.777,156.507
43,10.51,788,0.025381,5.731,137,20,2.442,,5.731,162.238
44,10.39,302,0.016556,2.211,137,5,2.631,,2.211,164.449
45,10.42,682,0.017595,5,136,12,2.559,,5,169.449
46,10.41,535,0.018692,3.918,137,10,2.603,,3.918,173.367
47,10.51,716,0.02095,5.2,138,15,2.567,,5.2,178.567
48,10.79,706,0.033994,5.125,138,24,2.519,,5.125,183.692
49,10.9,1069,0.014967,7.245,148,16,2.658,,7.245,190.937
50,10.78,468,0.010684,21.872,21,5,2.614,,21.872,212.809
51,10.69,392,0.015306,2.86,137,6,2.537,,2.86,215.669
52,10.58,324,0.015432,2.373,137,5,2.597,,2.373,218.042
53,10.7,687,0.024745,4.837,142,17,2.688,,4.837,222.879
54,10.56,453,0.006623,3.253,139,3,2.579,,3.253,226.132
55,10.55,640,0.015625,4.654,138,10,2.603,,4.654,230.786
56,10.52,530,0.016981,3.957,134,9,2.618,,3.957,234.743
57,10.53,487,0.022587,3.55,137,11,2.565,,3.55,238.293
58,10.5,297,0.030303,2.14,139,9,2.597,,2.14,240.433
59,10.51,531,0.020716,3.931,135,11,2.555,,3.931,244.364
60,10.48,513,0.017544,3.692,139,9,2.614,,3.692,248.056
61,10.51,590,0.020339,4.297,137,12,2.517,,4.297,252.353
62,10.5,580,0.017241,4.235,137,10,2.532,,4.235,256.588
63,10.43,374,0.016043,2.724,137,6,2.468,,2.724,259.312
64,10.38,478,0.014644,3.321,144,7,2.374,,3.321,262.633
65,10.48,756,0.022487,5.383,140,17,2.599,,5.383,268.016
66,10.38,526,0.007605,3.293,160,4,2.582,,3.293,271.309
67,10.52,798,0.025063,5.734,139,20,2.544,,5.734,277.043
68,10.4,376,0.005319,2.75,137,2,2.579,,2.75,279.793
69,10.48,709,0.022567,5.195,136,16,2.513,,5.195,284.988
70,10.47,475,0.021053,3.513,135,10,2.485,,3.513,288.501
71,10.42,392,0.017857,2.825,139,7,2.637,,2.825,291.326
72,10.39,487,0.016427,3.371,144,8,2.709,,3.371,294.697
73,10.37,616,0.01461,4.424,139,9,2.826,,4.424,299.121
74,10.31,384,0.015625,2.791,138,6,2.61,,2.791,301.912
75,10.25,345,0.017391,2.522,137,6,2.748,,2.522,304.434
76,10.25,568,0.017606,4.187,136,10,2.617,,4.187,308.621
77,10.23,579,0.015544,4.195,138,9,2.674,,4.195,312.816
78,10.15,322,0.012422,2.315,139,4,2.731,,2.315,315.131
79,10.15,528,0.018939,3.803,139,10,2.603,,3.803,318.934
80,10.09,415,0.012048,2.955,140,5,2.634,,2.955,321.889
81,10.09,601,0.016639,4.385,137,10,2.71,,4.385,326.274
82,10.1,476,0.023109,3.379,141,11,2.54,,3.379,329.653
83,10.06,301,0.023256,2.16,139,7,2.63,,2.16,331.813
84,10.08,760,0.015789,5.493,138,12,2.754,,5.493,337.306
85,10.08,529,0.018904,3.86,137,10,2.524,,3.86,341.166
86,10.05,425,0.016471,3.007,141,7,2.635,,3.007,344.173
87,10,343,0.017493,2.354,146,6,2.653,,2.354,346.527
88,10,534,0.018727,3.915,136,10,2.427,,3.915,350.442
89,10.02,714,0.016807,5.206,137,12,2.606,,5.206,355.648
90,9.96,370,0.010811,2.643,140,4,2.595,,2.643,358.291
91,9.91,375,0.016,2.721,138,6,2.657,,2.721,361.012
92,9.88,447,0.01566,3.241,138,7,2.669,,3.241,364.253
93,9.86,474,0.016878,3.423,138,8,2.743,,3.423,367.676
94,9.85,577,0.015598,4.226,137,9,2.554,,4.226,371.902
95,9.78,292,0.010274,2.136,137,3,2.448,0.009433,2.136,374.038
96,9.76,757,0.010568,28.197,27,8,2.566,0.00924,28.197,402.235
97,9.77,617,0.017828,33.999,18,11,2.442,0.008401,33.999,436.234
98,9.77,476,0.018908,26.62,18,9,2.502,0.00865,26.62,462.854
99,9.72,513,0.009747,28.65,18,5,2.504,0.009125,28.65,491.504
100,9.74,498,0.024096,133.636,4,12,2.474,0.009026,133.636,625.14
101,9.85,712,0.026685,39.545,18,19,2.549,0.006287,39.545,664.685
102,9.88,754,0.023873,41.301,18,18,2.447,0.00939,41.301,705.986
103,9.97,685,0.021898,37.781,18,15,2.525,0.008942,37.781,743.767
104,9.93,290,0.02069,15.916,18,6,2.549,0.008477,15.916,759.683
105,9.98,813,0.02583,44.765,18,21,2.533,0.008295,44.765,804.448
106,9.97,308,0.016234,17.253,18,5,2.543,0.008018,17.253,821.701
107,9.99,393,0.022901,21.732,18,9,2.632,0.009775,21.732,843.433
108,10.04,729,0.020576,39.646,18,15,2.588,0.007927,39.646,883.079
109,10.03,485,0.016495,26.893,18,8,2.659,0.00829,26.893,909.972
110,10.17,818,0.022005,44.828,18,18,2.558,0.010247,44.828,954.8
111,10.22,515,0.021359,28.086,18,11,2.499,0.00875,28.086,982.886
112,10.12,470,0.014894,25.959,18,7,2.705,0.007324,25.959,1008.845
113,10.04,642,0.021807,35.072,18,14,2.548,0.009429,35.072,1043.917
114,10.05,447,0.026846,24.263,18,12,2.529,0.009551,24.263,1068.18
115,9.89,391,0.01023,21.425,18,4,2.372,0.010599,21.425,1089.605
116,9.98,620,0.024194,33.742,18,15,2.461,0.008983,33.742,1123.347
117,10.07,921,0.018458,51.615,18,17,2.44,0.006532,51.615,1174.962
118,10.02,366,0.016393,20.093,18,6,2.347,0.008422,20.093,1195.055
119,9.99,533,0.015009,28.681,19,8,2.423,0.00846,28.681,1223.736
120,10.08,901,0.019978,49.114,18,18,2.441,0.007275,49.114,1272.85
121,10.06,400,0.015,22.006,18,6,2.423,0.008518,22.006,1294.856
122,10.12,666,0.024024,37.001,18,16,2.539,0.008077,37.001,1331.857
123,10.21,713,0.025245,40.233,18,18,2.46,0.007434,40.233,1372.09
124,10.13,290,0.013793,16.754,17,4,2.466,0.008029,16.754,1388.844
125,10.18,514,0.019455,30.105,17,10,2.506,0.00736,30.105,1418.949
126,10.12,530,0.022642,30.408,17,12,2.127,0.007371,30.408,1449.357
127,10.32,975,0.026667,56.012,17,26,2.412,0.008072,56.012,1505.369
128,10.25,443,0.011287,25.906,17,5,2.536,0.008947,25.906,1531.275
129,10.21,394,0.022843,22.117,18,9,2.417,0.008177,22.117,1553.392
130,10.15,583,0.013722,33.2,18,8,2.452,0.007511,33.2,1586.592
131,10.22,623,0.030498,35.543,18,19,2.447,0.008064,35.543,1622.135
132,10.22,330,0.024242,19.055,17,8,2.593,0.006071,19.055,1641.19
133,10.2,521,0.015355,29.141,18,8,2.57,0.008946,29.141,1670.331
134,10.27,606,0.021452,33.975,18,13,2.551,0.009488,33.975,1704.306
135,10.19,374,0.024064,21.21,18,9,2.508,0.008807,21.21,1725.516
136,10.22,536,0.016791,29.697,18,9,2.54,0.008521,29.697,1755.213
137,10.22,304,0.023026,17.214,18,7,2.283,0.006464,17.214,1772.427
138,10.05,291,0.010309,16.257,18,3,2.19,0.007484,16.257,1788.684
139,10,296,0.013514,16.62,18,4,2.564,0.006779,16.62,1805.304
140,10.02,585,0.015385,33.439,17,9,2.567,0.0078,33.439,1838.743
141,10.14,857,0.019837,48.543,18,17,2.397,0.006312,48.543,1887.286
142,10.25,933,0.018221,53.226,18,17,2.556,0.004469,53.226,1940.512
143,10.15,457,0.021882,26.489,17,10,2.33,0.006104,26.489,1967.001
144,10.22,595,0.020168,32.717,18,12,2.522,0.008702,32.717,1999.718
145,10.22,580,0.02069,32.734,18,12,2.358,0.005517,32.734,2032.452
146,10.22,582,0.017182,32.829,18,10,2.606,0.007096,32.829,2065.281
147,10.17,554,0.018051,30.931,18,10,2.474,0.006292,30.931,2096.212
148,10.17,975,0.024615,55.861,17,24,2.546,0.005871,55.861,2152.073
149,10.09,425,0.018824,24.393,17,8,2.441,0.007521,24.393,2176.466
150,10.11,480,0.014583,82.276,6,7,2.593,0.005612,82.276,2258.742
151,10.09,286,0.013986,16.466,17,4,2.388,0.005406,16.466,2275.208
152,10.07,328,0.009146,17.697,19,3,2.614,0.005559,17.697,2292.905
153,10.11,767,0.027379,41.989,18,21,2.529,0.006288,41.989,2334.894
154,10.23,918,0.01634,51.154,18,15,2.542,0.006593,51.154,2386.048
155,10.18,284,0.017606,15.999,18,5,2.363,0.007805,15.999,2402.047
156,10.1,360,0.002778,20.348,18,1,2.478,0.008073,20.348,2422.395
157,10.07,500,0.016,28.163,18,8,2.54,0.006981,28.163,2450.558
158,10.08,839,0.011919,48.061,17,10,2.351,0.006467,48.061,2498.619
159,10.12,634,0.023659,35.886,18,15,2.47,0.005753,35.886,2534.505
160,10.09,339,0.017699,18.873,18,6,2.586,0.006165,18.873,2553.378
161,10,302,0.009934,16.713,18,3,2.425,0.006394,16.713,2570.091
162,10.09,809,0.023486,45.742,18,19,2.312,0.006043,45.742,2615.833
